papel;cotacao;pl;pvp;psr;div_yield;p_ativo;p_cap_giro;p_ebit;p_ativ_circ_liq;ev_ebit;ev_ebitda;mrg_bruta;mrg_ebit;mrg_liq;liq_corr;roic;roe;liq_2meses;patrim_liq;div_liq_patrim;cresc_rec_5a;ticker
PETR4;49,12;4,75;1,32;1,154;7,42;0,495;-23,98;2,7;-0,99;4,03;2,94;50,6;42,76;24,39;0,85;19,69;27,73;1855870000,0;480950000000,0;0,65;-2,33;PETR4.SA
VALE3;78,23;33,49;1,77;1,593;7,17;0,751;23,61;4,79;-2,05;5,73;4,6;34,92;33,24;3,99;1,19;18,11;5,27;1379560000,0;196635000000,0;0,35;-2,4;VALE3.SA
ITUB4;42,35;10,02;2,25;0,0;7,35;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,45;974139000,0;207648000000,0;0,0;30,28;ITUB4.SA
BBDC4;18,48;7,91;1,12;0,0;8,42;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,13;636665000,0;175230000000,0;0,0;9,19;BBDC4.SA
AXIA3;55,7;13,6;1,34;3,678;2,66;0,591;6,18;20,29;-1,59;25,82;16,18;47,45;18,13;27,06;2,05;3,25;9,86;625985000,0;122244000000,0;0,37;4,9;AXIA3.SA
BPAC11;60,45;12,92;2,96;0,0;2,33;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,88;581421000,0;79553500000,0;0,0;11,85;BPAC11.SA
B3SA3;17,66;16,72;4,76;7,426;4,38;1,821;9,79;12,52;-7,98;12,3;11,67;89,8;59,32;44,43;1,92;22,2;28,49;567868000,0;18705000000,0;-0,08;3,97;B3SA3.SA
BBAS3;22,8;9,02;0,72;0,0;3,02;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,99;538065000,0;181333000000,0;0,0;-9,61;BBAS3.SA
SBSP3;27,29;11,96;2,13;2,353;2,48;0,804;12,57;7,6;-1,91;10,31;8,6;35,73;30,96;19,71;1,47;12,72;17,8;527691000,0;45173800000,0;0,76;21,17;SBSP3.SA
PETR3;54,64;5,28;1,46;1,284;6,67;0,551;-26,67;3,0;-1,1;4,34;3,16;50,6;42,76;24,39;0,85;19,69;27,73;505474000,0;480950000000,0;0,65;-2,33;PETR3.SA
EMBJ3;95,82;30,46;3,96;1,608;1,03;1,035;6,1;14,66;-6,73;14,98;11,59;17,85;10,97;5,46;1,44;9,61;13,01;454134000,0;17906200000,0;0,09;22,02;EMBJ3.SA
ABEV3;15,74;15,0;2,76;2,761;5,01;1,763;285,83;11,78;-27,57;11,04;8,5;51,9;23,44;18,98;1,02;20,62;18,4;448548000,0;88313200000,0;-0,17;3,86;ABEV3.SA
PRIO3;64,19;14,48;1,99;2,622;0,0;0,882;20,64;8,82;-2,29;12,25;6,02;33,37;29,73;18,11;1,34;10,92;13,71;428609000,0;28214100000,0;0,77;35,96;PRIO3.SA
WEGE3;52,17;35,01;11,61;5,457;3,85;4,692;19,68;26,07;61,16;25,62;22,79;33,14;20,93;16,63;1,59;24,33;33,16;390924000,0;18861400000,0;-0,2;11,24;WEGE3.SA
UGPA3;38,53;12,44;2,39;0,281;5,19;0,83;4,68;5,62;-5,2;6,97;5,67;8,39;4,99;2,36;1,64;21,5;19,25;366397000,0;17958400000,0;0,57;4,26;UGPA3.SA
EQTL3;40,1;52,69;1,93;0,934;3,94;0,425;5,28;5,23;-0,79;10,84;8,29;25,57;17,86;3,27;1,57;9,18;3,67;348523000,0;26126700000,0;2,07;18,46;EQTL3.SA
VBBR3;38,25;9,07;1,95;0,225;3,95;0,696;3,24;5,47;-3,27;7,4;6,47;6,45;4,11;2,48;2,01;16,06;21,49;330466000,0;23532000000,0;0,69;5,44;VBBR3.SA
RENT3;36,81;12,09;1,53;0,893;5,57;0,456;15,65;4,87;-0,98;8,92;5,15;26,1;18,35;7,38;1,14;12,27;12,63;318933000,0;27102500000,0;1,27;38,79;RENT3.SA
ITSA4;14,17;8,75;1,69;18,749;7,96;1,327;21,12;369,53;-25,9;379,03;93,83;25,72;5,07;215,08;2,0;0,38;19,36;287531000,0;93790000000,0;0,04;-0,05;ITSA4.SA
SUZB3;48,1;7,44;1,22;1,271;0,01;0,355;1,84;7,89;-0,82;16,5;6,49;28,65;16,12;17,14;3,38;5,54;16,44;274635000,0;49697900000,0;1,34;2,38;SUZB3.SA
CPLE3;16,14;15,36;2,0;1,72;6,58;0,781;18,97;8,87;-1,81;12,55;9,73;23,44;19,4;11,4;1,3;9,82;12,99;261082000,0;24128100000,0;0,83;3,62;CPLE3.SA
ENEV3;27,68;55,91;2,64;2,812;0,0;0,926;30,13;17,0;-1,93;23,26;12,71;25,73;16,54;8,02;1,28;5,85;4,73;254691000,0;20355600000,0;0,97;36,29;ENEV3.SA
RDOR3;38,06;17,68;4,11;1,475;11,41;0,753;2,27;8,01;-2,59;8,73;7,43;23,07;18,41;8,7;2,91;15,63;23,26;250279000,0;20733500000,0;0,37;26,98;RDOR3.SA
BBSE3;41,2;8,7;7,34;0,0;11,3;3,648;0,0;8,02;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;84,38;244104000,0;10890300000,0;0,0;0,0;BBSE3.SA
CSMG3;56,68;16,67;2,43;2,481;3,86;1,021;37,76;9,63;-2,39;13,14;9,05;41,57;25,76;14,88;1,21;11,59;14,6;237932000,0;8853420000,0;0,89;9,55;CSMG3.SA
GGBR4;26,01;23,0;0,96;0,74;3,07;0,628;2,68;7,29;42,85;8,45;5,54;13,1;10,14;3,27;2,87;10,03;4,18;233794000,0;53544600000,0;0,15;-5,14;GGBR4.SA
LREN3;11,45;7,72;1,11;0,722;7,96;0,603;2,5;3,13;4,54;2,82;2,08;61,99;23,02;9,35;1,69;23,53;14,41;204669000,0;10367800000,0;-0,11;6,18;LREN3.SA
RADL3;19,76;25,79;4,75;0,769;2,23;1,395;8,41;11,64;-10,56;12,58;7,38;31,05;6,61;2,97;1,41;16,71;18,41;178454000,0;7290780000,0;0,38;14,16;RADL3.SA
VIVT3;30,46;14,89;1,5;1,591;8,26;0,762;-67,98;9,79;-2,79;10,9;4,3;45,03;16,25;10,69;0,95;9,1;10,05;173122000,0;65629300000,0;0,17;7,66;VIVT3.SA
CYRE3;26,17;5,82;1,06;1,202;8,83;0,428;1,06;7,22;18,6;10,14;9,13;33,08;16,65;17,02;3,37;7,03;18,26;172785000,0;11168000000,0;0,43;18,66;CYRE3.SA
MOTV3;16,67;8,68;1,9;1,792;5,59;0,426;2,84;4,26;-1,0;8,41;6,99;47,88;42,1;21,89;1,77;11,72;21,85;171056000,0;17744000000,0;1,85;4,24;MOTV3.SA
TIMS3;19,54;3422,83;1,87;60,077;7,51;0,817;-21,18;129,15;-2,36;123,95;119,62;76,71;46,52;1,76;0,85;0,76;0,05;165924000,0;25015400000,0;-0,08;-53,4;TIMS3.SA
RAIL3;14,95;22,65;1,92;1,931;0,73;0,504;14,71;4,73;-0,86;7,7;6,17;45,82;40,82;8,66;1,31;12,06;8,48;165518000,0;14469200000,0;1,21;15,43;RAIL3.SA
ENGI11;51,81;17,2;1,34;0,711;2,2;0,303;3,05;3,44;-0,66;7,83;6,05;24,66;20,65;5,88;1,56;10,25;7,78;165396000,0;19498600000,0;1,7;8,42;ENGI11.SA
SANB11;29,92;7,24;1,14;0,0;7,71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,69;161539000,0;98731800000,0;0,0;9,09;SANB11.SA
CMIG4;11,46;7,14;1,12;0,75;9,22;0,463;14,53;5,46;-1,26;8,66;6,83;15,8;13,74;10,51;1,17;9,3;15,75;152717000,0;29181600000,0;0,66;6,06;CMIG4.SA
SMFT3;17,79;15,97;1,8;1,361;6,04;0,51;15,63;5,68;-0,98;8,02;3,99;43,2;23,95;8,53;1,2;10,6;11,3;150444000,0;6076860000,0;0,74;45,94;SMFT3.SA
TOTS3;33,0;13,41;3,5;2,97;2,13;1,471;12,06;7,72;-4,71;8,93;7,7;71,07;38,49;22,45;1,84;23,37;26,12;135679000,0;5457910000,0;0,55;15,64;TOTS3.SA
EGIE3;31,0;11,09;2,92;3,209;2,91;0,744;53,66;7,36;-1,33;11,52;9,16;47,45;43,62;30,83;1,09;11,59;26,37;133241000,0;15012800000,0;1,65;2,76;EGIE3.SA
BRAV3;18,81;160,46;0,71;0,708;0,66;0,21;5,99;2,96;-0,39;6,5;3,24;27,86;23,94;0,44;1,26;8,3;0,44;128797000,0;12282500000,0;0,85;83,92;BRAV3.SA
CXSE3;20,31;13,47;4,42;0,0;6,66;4,061;76,42;-368,31;77,56;-360,51;-365,3;0,0;0,0;0,0;1,67;-1,21;32,79;120796000,0;13794600000,0;-0,09;0,0;CXSE3.SA
AURA33;145,49;20,75;13,37;4,651;1,19;3,581;203,67;8,48;-8,1;8,75;8,75;60,05;54,84;22,42;1,06;56,55;64,46;117627000,0;2362970000,0;0,42;28,11;AURA33.SA
MGLU3;5,94;52,08;0,41;0,12;1,37;0,128;2,94;3,11;-0,63;5,26;2,79;29,88;3,87;0,23;1,1;6,07;0,79;114568000,0;11166700000,0;0,29;1,8;MGLU3.SA
MULT3;30,39;11,25;2,31;4,884;3,69;1,18;20,72;6,69;-3,45;8,64;8,17;82,72;73,01;43,42;1,64;18,7;20,52;112423000,0;6755750000,0;0,67;18,89;MULT3.SA
ALOS3;29,07;15,68;1,14;5,06;10,76;0,57;5,14;10,22;-1,67;7,99;5,55;72,95;49,51;35,56;3,56;6,39;7,27;111298000,0;12852700000,0;-0,25;27,64;ALOS3.SA
CURY3;32,38;9,08;6,03;1,625;14,87;1,589;5,73;6,16;-16,89;5,98;5,86;39,69;26,37;20,24;1,92;37,72;66,38;108041000,0;1655020000,0;-0,18;33,04;CURY3.SA
CSAN3;3,85;-1,72;3,07;0,381;0,0;0,121;1,21;1,63;-0,24;6,69;4,73;34,46;23,41;-22,08;1,67;8,59;-178,97;107365000,0;4968460000,0;9,57;5,61;CSAN3.SA
MBRF3;16,94;64,1;2,05;0,141;10,31;0,168;8,68;3,97;-0,32;12,58;5,82;12,31;3,54;0,09;1,05;6,29;3,2;107105000,0;11383700000,0;4,45;11,3;MBRF3.SA
BBDC3;16,24;6,95;0,98;0,0;8,71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,13;106216000,0;175230000000,0;0,0;9,19;BBDC3.SA
ISAE4;28,08;7,01;0,89;1,85;6,17;0,395;3,4;4,27;-0,97;7,73;7,67;45,82;43,28;26,95;5,28;9,63;12,71;99893700,0;22159400000,0;0,72;16,96;ISAE4.SA
DIRR3;10,94;6,65;2,45;1,18;14,17;0,389;1,06;4,76;-1,17;5,25;4,88;40,35;24,8;22,59;4,17;9,99;36,78;96002700,0;2326860000,0;0,25;25,62;DIRR3.SA
GOAU4;11,51;19,16;0,79;0,219;3,33;0,186;0,79;2,16;12,06;3,31;2,17;13,1;10,12;3,27;2,88;10,0;4,13;91537200,0;19234800000,0;0,42;-5,14;GOAU4.SA
CSNA3;7,19;-3,63;0,78;0,211;0,0;0,095;2,51;1,5;-0,17;7,63;4,52;27,91;14,12;-4,37;1,15;8,07;-21,59;90356400,0;12166300000,0;3,21;1,07;CSNA3.SA
ASAI3;9,86;13,84;2,1;0,172;1,06;0,286;7,08;2,01;-0,58;3,78;2,97;18,05;8,58;1,24;1,12;21,18;15,21;89345700,0;6346000000,0;1,86;13,0;ASAI3.SA
KLBN11;19,57;43,51;2,58;1,181;5,93;0,384;2,75;9,08;-0,81;18,28;6,49;28,0;13,01;2,59;2,0;5,45;5,92;88529800,0;9486820000,0;2,61;2,72;KLBN11.SA
TEND3;33,1;7,01;2,64;0,847;4,42;0,572;2,08;4,87;-2,57;5,23;4,8;32,34;17,4;11,58;1,96;14,39;37,61;86896400,0;1539020000,0;0,2;18,39;TEND3.SA
ITUB3;46,38;10,97;2,46;0,0;6,71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,45;85578000,0;207648000000,0;0,0;30,28;ITUB3.SA
